electrical_capacity,energy_source_level_1,energy_source_level_2,energy_source_level_3,technology,data_source,nuts_1_region,nuts_2_region,nuts_3_region,lon,lat,municipality,postcode,address,region,country,commissioning_date,solar_mounting_type,chp,capacity_individual_turbine,number_of_turbines,site_name,uk_beis_id,operator,comment,Affected_1m,Affected_2m,Affected_3m,Priority_Score,Priority_Save
1.3,Renewable energy,Wind,,Onshore,BEIS,UKE,UKE2,UKE22,-1.91415446872411,53.9624324458716,North Yorkshire,,"Land adjacent to Chelker Reservoir, nr Skipton",Yorkshire and Humber,England,1992/01/06,,,0.3,4,Chelker Reservoir,2921,Yorkshire Water,,0,0,0,0.0,0
2.7,Renewable energy,Wind,,Onshore,BEIS,UKC,UKC2,UKC21,-1.49519096694948,55.125438419871,Northumberland,,Blyth HarbourNorth BlythCamboisBedlingtonNorthumberland,North East,England,1992/01/12,,,0.3,9,Blyth Harbour Wind Farm,3659,Border Wind Farms Ltd,,1,1,1,2.7,0
31.0,Renewable energy,Wind,,Onshore,BEIS,UKL,UKL2,UKL24,-3.43083091499236,52.4421041774022,Powys,,10km south of Newtown,Wales,Wales,1993/01/01,,,0.3,103,Llandinam Windfarm,3057,CELTPOWER LTD,,0,0,0,0.0,0
4.8,Renewable energy,Wind,,Onshore,BEIS,UKD,UKD1,UKD12,-3.13572530041748,54.2574907362959,Cumbria,,"approximately 4km from Ulverston, within a Site of Special Scientific Interest",North West,England,1993/01/01,,,0.4,12,Kirkby Moor,2713,Npower Renewables,,0,0,0,0.0,0
9.6,Renewable energy,Wind,,Onshore,BEIS,UKD,UKD4,UKD46,-2.14998372886887,53.7496618938736,Lancashire,,Burnley,North West,England,1993/01/02,,,0.4,24,Coal Clough Wind Farm,3079,Renewable Energy Systems (RES),,0,0,0,0.0,0
9.0,Renewable energy,Wind,,Onshore,BEIS,UKL,UKL1,UKL15,-3.46481259164611,51.5693878464299,Mid Glamorgan,,10 kilometres (km) north east of Bridgend,Wales,Wales,1993/01/10,,,0.45,20,Taff Ely Wind Farm,2776,Npower Renewables,,0,0,0,0.0,0
5.9,Renewable energy,Wind,,Onshore,BEIS,UKE,UKE3,UKE31,-1.66956562681608,53.5321994640218,South Yorkshire,,"Royd Moor, Penistone",Yorkshire and Humber,England,1993/01/12,,,0.45,13,Royd Moor,3432,,,0,0,0,0.0,0
9.9,Renewable energy,Wind,,Onshore,BEIS,UKL,UKL2,UKL24,-3.56559192516945,52.3671652776668,Powys,,"Bryntitli Platuae, North of RhayaderPowys",Wales,Wales,1994/01/06,,,0.45,22,Bryn titli Windfarm,3015,Innogy,,0,0,0,0.0,0
5.0,Renewable energy,Wind,,Onshore,BEIS,UKN,UKN1,UKN12,-6.81982633916381,55.0218530509768,Co. Derry / Londonderry,,"Rigged Hill, 11km east of Limavady, County Londonderry",Northern Ireland,Northern Ireland,1994/01/11,,,0.5,10,Rigged Hill Wind Farm,3112,B9 Energy Services Ltd/ ScottishPower Renewables,,0,0,0,0.0,0
5.0,Renewable energy,Wind,,Onshore,BEIS,UKN,UKN1,UKN12,-6.2873112026139,55.0435621912603,Co. Antrim,,Slievenahanaghen Mountain(Accessed via Corkey Road)CloughmillsCounty Antrim,Northern Ireland,Northern Ireland,1994/01/12,,,0.5,10,Corkey Wind Farm,3103,B9 Energy Services Ltd/ ScottishPower Renewables,,0,0,0,0.0,0
