electrical_capacity,energy_source_level_1,energy_source_level_2,energy_source_level_3,technology,data_source,nuts_1_region,nuts_2_region,nuts_3_region,lon,lat,municipality,postcode,address,region,country,commissioning_date,solar_mounting_type,chp,capacity_individual_turbine,number_of_turbines,site_name,uk_beis_id,operator,comment
1.3,Renewable energy,Wind,,Onshore,BEIS,UKE,UKE2,UKE22,-1.91415446872411,53.96243244587156,North Yorkshire,,"Land adjacent to Chelker Reservoir, nr Skipton",Yorkshire and Humber,England,1992-01-06,,,0.3,4.0,Chelker Reservoir,2921.0,Yorkshire Water,
2.7,Renewable energy,Wind,,Onshore,BEIS,UKC,UKC2,UKC21,-1.49519096694948,55.12543841987095,Northumberland,,Blyth HarbourNorth BlythCamboisBedlingtonNorthumberland,North East,England,1992-01-12,,,0.3,9.0,Blyth Harbour Wind Farm,3659.0,Border Wind Farms Ltd,
31.0,Renewable energy,Wind,,Onshore,BEIS,UKL,UKL2,UKL24,-3.43083091499236,52.44210417740219,Powys,,10km south of Newtown,Wales,Wales,1993-01-01,,,0.3,103.0,Llandinam Windfarm,3057.0,CELTPOWER LTD,
4.8,Renewable energy,Wind,,Onshore,BEIS,UKD,UKD1,UKD12,-3.13572530041748,54.25749073629591,Cumbria,,"approximately 4km from Ulverston, within a Site of Special Scientific Interest",North West,England,1993-01-01,,,0.4,12.0,Kirkby Moor,2713.0,Npower Renewables,
9.6,Renewable energy,Wind,,Onshore,BEIS,UKD,UKD4,UKD46,-2.14998372886887,53.74966189387358,Lancashire,,Burnley,North West,England,1993-01-02,,,0.4,24.0,Coal Clough Wind Farm,3079.0,Renewable Energy Systems (RES),
9.0,Renewable energy,Wind,,Onshore,BEIS,UKL,UKL1,UKL15,-3.46481259164611,51.56938784642986,Mid Glamorgan,,10 kilometres (km) north east of Bridgend,Wales,Wales,1993-01-10,,,0.45,20.0,Taff Ely Wind Farm,2776.0,Npower Renewables,
5.9,Renewable energy,Wind,,Onshore,BEIS,UKE,UKE3,UKE31,-1.66956562681608,53.53219946402184,South Yorkshire,,"Royd Moor, Penistone",Yorkshire and Humber,England,1993-01-12,,,0.45,13.0,Royd Moor,3432.0,,
9.9,Renewable energy,Wind,,Onshore,BEIS,UKL,UKL2,UKL24,-3.56559192516945,52.36716527766677,Powys,,"Bryntitli Platuae, North of RhayaderPowys",Wales,Wales,1994-01-06,,,0.45,22.0,Bryn titli Windfarm,3015.0,Innogy,
5.0,Renewable energy,Wind,,Onshore,BEIS,UKN,UKN1,UKN12,-6.81982633916381,55.02185305097683,Co. Derry / Londonderry,,"Rigged Hill, 11km east of Limavady, County Londonderry",Northern Ireland,Northern Ireland,1994-01-11,,,0.5,10.0,Rigged Hill Wind Farm,3112.0,B9 Energy Services Ltd/ ScottishPower Renewables,
5.0,Renewable energy,Wind,,Onshore,BEIS,UKN,UKN1,UKN12,-6.2873112026139,55.04356219126027,Co. Antrim,,Slievenahanaghen Mountain(Accessed via Corkey Road)CloughmillsCounty Antrim,Northern Ireland,Northern Ireland,1994-01-12,,,0.5,10.0,Corkey Wind Farm,3103.0,B9 Energy Services Ltd/ ScottishPower Renewables,
5.5,Renewable energy,Wind,,Onshore,BEIS,UKL,UKL1,UKL14,-4.59071873485952,51.91118098602812,Dyfed,,"Dyffryn Brodyn Wind Farm, near Llanboidy, north of St Clears",Wales,Wales,1994-01-12,,,0.5,11.0,Dyffryn Brodyn Wind Farm,2956.0,Renewable Energy Systems (RES),
5.0,Renewable energy,Wind,,Onshore,BEIS,UKN,UKN1,UKN13,-6.11896663137633,54.73893212328421,Co. Antrim,,Elliot's HillTildargnear BallyclareCounty Antrim,Northern Ireland,Northern Ireland,1995-01-04,,,0.5,10.0,Elliot's Hill Wind Farm,3106.0,B9 Energy Services Ltd/ ScottishPower Renewables,
5.0,Renewable energy,Wind,,Onshore,BEIS,UKN,UKN1,UKN10,-7.44045916308172,54.70394960477783,Co. Tyrone,,"Bessy Bell Mountain Baronscourt Estate Newtownstewart, County Tyrone",Northern Ireland,Northern Ireland,1995-01-10,,,0.5,10.0,Bessy Bell Wind Farm,3097.0,"Colham Energy Ltd, plus Airtricty extrension",
7.8,Renewable energy,Wind,,Onshore,BEIS,UKM,UKM9,UKM95,-3.920325315483,55.55537006857698,Strathclyde,,The site lies 4km west of Douglas,Scotland,Scotland,1995-01-11,,,0.6,13.0,"Hagshaw Hill (S15) Wind Farm, Lanarkshire",3593.0,Trigen,
7.8,Renewable energy,Wind,,Onshore,BEIS,UKM,UKM9,UKM95,-3.92008328958798,55.55528399061822,Strathclyde,,The site lies 4km west of Douglas,Scotland,Scotland,1995-01-11,,,0.6,13.0,Hagshaw Hill Wind Farm,3301.0,Trigen,
5.0,Renewable energy,Wind,,Onshore,BEIS,UKN,UKN1,UKN16,-7.62840012689787,54.19027968134249,Co. Fermanagh,,"Slieve RushenDerrylin20km south of Enniskillen, County Fermanagh",Northern Ireland,Northern Ireland,1995-01-12,,,0.5,10.0,Slieve Rushen Phase 1 Wind Farm,3122.0,Sean Quinn Group,
5.6,Renewable energy,Wind,,Onshore,BEIS,UKL,UKL1,UKL11,-4.34646646525913,53.37475947728652,Gwynedd,,Trysglwyn FawrRhosybolIsle of AngleseyGwynedd,Wales,Wales,1996-01-05,,,0.4,14.0,Trysglwyn Wind Farm,2567.0,RWE npower,
4.2,Renewable energy,Wind,,Onshore,BEIS,UKD,UKD1,UKD11,-3.54295594864795,54.67412532932385,Cumbria,,Siddick Wind Farm Siddick Workington Cumbria,North West,England,1996-01-08,,,0.6,7.0,Siddick Wind Farm,2624.0,Windprospect / Windcluster,
5.4,Renewable energy,Wind,,Onshore,BEIS,UKD,UKD1,UKD11,-3.55635709192205,54.65957348391446,Cumbria,,Oldside Wind FarmWorkingtonCumbria,North West,England,1996-01-09,,,0.6,9.0,Oldside Wind Farm,2625.0,Windprospect / Windcluster,
21.6,Renewable energy,Wind,,Onshore,BEIS,UKM,UKM9,UKM92,-4.18293943745383,55.2970649926489,Dumfries and Galloway,,"Windy Standard, Dumfries & Galloway",Scotland,Scotland,1996-01-10,,,0.6,36.0,Brochloch Rig 1 (formerly Windy Standard),4527.0,Fred Olsen Renewables,
16.8,Renewable energy,Wind,,Onshore,BEIS,UKL,UKL2,UKL24,-3.5791911298923,52.54230630405943,Powys,,Cwm CledanCarnoPowys,Wales,Wales,1996-01-10,,,0.6,28.0,Carno 'A' Wind Farm,2565.0,RWE npower,
16.8,Renewable energy,Wind,,Onshore,BEIS,UKL,UKL2,UKL24,-3.60816293964817,52.54943241544755,Powys,,"Trannon Moor, Carno, Powys",Wales,Wales,1996-01-10,,,0.6,28.0,Carno 'B' Wind Farm,2564.0,RWE npower,
5.0,Renewable energy,Wind,,Onshore,BEIS,UKN,UKN1,UKN10,-7.33901857270684,54.80968314136285,Co. Tyrone,,Land near Craignagapple 10km South East of Strabane County Tyrone,Northern Ireland,Northern Ireland,1997-01-01,,,0.5,10.0,Owenreagh Wind Farm,3118.0,EF Energy,
2.5,Renewable energy,Wind,,Onshore,BEIS,UKD,UKD1,UKD12,-3.14671525502606,54.20487952548283,Cumbria,LA12 0,"Harlock Hill Wind Farm, Pennington, Near Ulverston, Cumbria",North West,England,1997-01-01,,,0.5,5.0,Harlock Hill Wind Farm,2617.0,The Wind Company,
