OBJECTID;COUNTRY;NAME;N_TURBINES;POWER_MW;STATUS;TYPE_INST;UPDT_YEAR;START_YEAR;COAST_DIST_M;AREA_SQKM;NOTES;Shape_Length;Shape_Area
1;United Kingdom;Galson (Lewis 10MW);10;10;Planned; ;0;0;45,48415879;4,756626665; ;0,124677946;0,000730802
2;United Kingdom;Islay Demo Zone;10;10;Approved; ;0;0;1122,942248;27,6115373; ;0,291914444;0,003945596
3;United Kingdom;North West Lewis (30MW);30;30;Planned; ;0;0;0;51,06208116; ;1,28208171;0,007829191
4;United Kingdom;Brough Ness;66;99;Planned; ;0;0;262,1046839;2,990515215; ;0,139682917;0,000463452
5;United Kingdom;Brims Tidal Array;200;200;Planned; ;0;0;410,9712953;11,031453; ;0,317196709;0,001711473
6;United Kingdom;Brough Head;50;50;Planned; ;0;0;0;24,11597888; ;0,934577208;0,003776121
7;United Kingdom;EMEC Stronsay Firth;0;0;Planned; ;0;0;67,06070359;23,7013915; ;0,265970601;0,003709285
8;United Kingdom;Firth of Forth Met Mast;1;0;Production; ;0;0;29720,43471;0,010007041; ;0,0050552;1,46355E-06
9;United Kingdom;Portland Bill;0;30;Planned; ;0;0;1614,487128;3,095955505; ;0,10723533;0,000392257
10;United Kingdom;Mull of Galloway;0;0;Planned; ;0;0;604,7298762;3,625768421; ;0,102842275;0,000504305
11;United Kingdom;Ness of Duncansby;0;100;Planned; ;0;0;680,4353493;2,424330032; ;0,099874014;0,000375031
12;United Kingdom;NOAH Met Mast;1;0;Production; ;0;0;4983,967117;0,195833173; ;0,01971893;2,75889E-05
13;United Kingdom;North Devon Demo Zone;0;0;Dismantled; ;0;0;170,7414017;34,13617843; ;0,442441782;0,00439474
14;United Kingdom;Sanda Sound;0;0,035;Approved; ;0;0;653,0547452;0,020180668; ;0,011264456;2,85414E-06
15;United Kingdom;Scarweather Sands Met Mast;1;0;Dismantled; ;0;0;8166,582792;0,031385359; ;0,007443049;4,06052E-06
16;United Kingdom;Shell Flats No. 1 (Western) Met Mast;1;0;Production; ;0;0;15769,86446;0,031392596; ;0,007722959;4,28674E-06
17;United Kingdom;Shell Flats No. 2 (Eastern) Met Mast;1;0;Production; ;0;0;10035,84887;0,031393373; ;0,007724787;4,28824E-06
18;United Kingdom;St David's Head;1;10;Dismantled; ;0;0;247,6600386;1,619174959; ;0,068267506;0,000211441
19;United Kingdom;Strangford Lough Array;0;20;Planned; ;0;0;127,2565496;0,513987603; ;0,056061277;7,10212E-05
20;United Kingdom;Strangford Lough SeaGen;1;1,2;Dismantled; ;0;0;277,4575402;0,00782893; ;0,003890644;1,08213E-06
21;United Kingdom;Westray South;200;200;Planned; ;0;0;560,0883765;12,64123084; ;0,205457902;0,001984578
22;United Kingdom;Docking Shoal Met Mast;1;0;Dismantled; ;0;0;18889,82124;0,031374045; ;0,007633983;4,21446E-06
23;Denmark;Fanm Bugt;0;0;Planned; ;0;0;16822,22361;236,2384204; ;0,89461495;0,033356358
24;Denmark;Frederikshavn;0;0;Planned;Grounded;2026;0;8136,957541;522,3975997; ;1,41422614;0,078329027
25;Denmark;Nordsren II vest;0;0;Planned; ;0;0;107551,0544;353,5338051; ;1,149829618;0,050582144
26;Denmark;Vesterhav Syd;20;168;Production;Grounded;2026;0;4096,542123;46,58809582; ;0,397145007;0,006716204
27;Denmark;Bornholm II;0;0;Planned; ;0;0;8013,135861;661,3359496; ;2,115383648;0,092368098
28;Denmark;Jammerbugt;0;0;Planned; ;0;0;19922,75591;162,2304015; ;1,199551538;0,02422068
