OBJECTID;COUNTRY;NAME;N_TURBINES;POWER_MW;STATUS;TYPE_INST;UPDT_YEAR;START_YEAR;COAST_DIST_M;NOTES
1;Belgium;Belwind Alstom Haliade Demonstration Bligh Bank;1;6;Production; ;2024;2013;43900,77701; 
2;Denmark;Bochers Banke;0;1102,5;Planned; ;2024;0;17145,55062; 
3;Denmark;Bornholm Bassin Ost;0;1500;Planned; ;2024;0;41357,16176; 
4;Denmark;Bornholm Bassin Syd;0;1500;Planned; ;2024;0;52608,85867; 
5;Denmark;Femern;0;400;Planned; ;2024;0;1762,153578; 
6;Denmark;Femern Bugt;0;300;Planned; ;2024;0;10406,50282; 
7;Denmark;Frederikshavn Nord;0;500;Planned; ;2024;0;5195,759531; 
8;Denmark;Freya;0;1500;Planned; ;2024;0;60389,95911; 
9;Denmark;Gilleleje;0;210;Planned; ;2024;0;6142,347249; 
10;Denmark;Gjerrild Bugt;0;400;Planned; ;2024;0;9734,381239; 
11;Denmark;Grena;0;315;Planned; ;2024;0;9862,080525; 
12;Denmark;Guldborgsund;0;500;Planned; ;2024;0;8306,535564; 
13;Denmark;Guldborgsund Syd;0;500;Planned; ;2024;0;3520,970994; 
14;Denmark;Hanstholm Syd;0;500;Planned; ;2024;0;15722,17106; 
15;Denmark;Hirtshals Havn Offshore;0;350;Planned; ;2024;0;4444,277108; 
16;Denmark;Hirtshals Havn Syd;0;500;Planned; ;2024;0;7209,973165; 
17;Denmark;Klintebjerg;0;585;Planned; ;2024;0;12164,91089; 
18;Denmark;Laeso;0;540;Planned; ;2024;0;12084,02427; 
19;Denmark;Lolland;0;253;Planned; ;2024;0;20502,86457; 
20;Denmark;Lolland Syd;0;260;Planned; ;2024;0;5702,088481; 
21;Denmark;Lysegrund;0;550;Planned; ;2024;0;10304,95553; 
22;Denmark;Norddjurs;0;650;Planned; ;2024;0;18177,95313; 
23;Denmark;Odin (DK);0;2250;Planned; ;2024;0;130406,8978; 
24;Denmark;Romo;0;500;Planned; ;2024;0;11281,93967; 
25;Denmark;Sonderbjerg;0;285;Planned; ;2024;0;7410,848109; 
26;Denmark;Stevns Nord;0;350;Planned; ;2024;0;5186,762357; 
27;Denmark;Stokkebro;0;210;Planned; ;2024;0;23265,80119; 
28;Denmark;Thybo;0;4000;Planned; ;2024;0;115086,0186; 
29;Denmark;Thybo II;0;1760;Planned; ;2024;0;45544,13602; 
30;Denmark;Vigso Bay;0;450;Planned; ;2024;0;5189,609834; 
31;Denmark;Vindeby-Lolland;11;4,95;Dismantled; ;2024;1991;1676,312857; 
32;Estonia;Area 1 - Eesti Energia;0;1005;Planned; ;2024;0;12277,07761; 
33;Estonia;Area 2 - Eesti Energia;0;1005;Planned; ;2024;0;13651,72717; 
34;Estonia;ELWIND;0;1000;Planned; ;2024;0;10812,7116; 
35;Estonia;European Energy Estonia OÜ Area SaareWest;0;1000;Planned; ;2024;0;36846,3537; 
36;Estonia;Liivi Iaht Kihnu;0;960;Planned; ;2024;0;13628,2809; 
37;Estonia;Loode-Eesti Meretuulepark Hiiumaa;200;1100;Planned; ;2024;0;8027,171153; 
38;Estonia;Nasva Offshore;0;0;Planned; ;2024;0;984,0870188; 
39;Estonia;Saare;100;600;Planned; ;2024;0;17436,67701; 
40;Estonia;Saaremaa Roheenergia;0;0;Planned; ;2024;0;34021,57948; 
41;Estonia;Sõrve;0;1200;Planned; ;2024;0;17087,59829; 
42;Estonia;Sõrve 2;0;1200;Planned; ;2024;0;15059,82755; 
43;Estonia;Sunly SW1;0;84;Planned; ;2024;0;19392,69232; 
44;Estonia;Sunly SW10;0;72;Planned; ;2024;0;25851,33145; 
